day,year,week,variant,ireg,region,positive,genomes,cases
244,2020,43,p2,0,other,0,2,
244,2020,43,p2,1,nordjylland,0,39,679
244,2020,43,p2,2,midtjylland,0,54,1186
244,2020,43,p2,3,syddanmark,0,44,826
244,2020,43,p2,4,copenhagen,0,178,2539
244,2020,43,p2,5,sjaelland,0,40,536
244,2020,43,p2,6,whole_denmark,0,357,5844
244,2020,43,y453f,0,other,0,2,
244,2020,43,y453f,1,nordjylland,16,39,679
244,2020,43,y453f,2,midtjylland,3,54,1186
244,2020,43,y453f,3,syddanmark,1,44,826
244,2020,43,y453f,4,copenhagen,0,178,2539
244,2020,43,y453f,5,sjaelland,3,40,536
244,2020,43,y453f,6,whole_denmark,23,357,5844
251,2020,44,20e-eu1,0,other,1,7,
251,2020,44,20e-eu1,1,nordjylland,76,154,819
251,2020,44,20e-eu1,2,midtjylland,62,178,1294
251,2020,44,20e-eu1,3,syddanmark,41,173,1024
251,2020,44,20e-eu1,4,copenhagen,161,564,3456
251,2020,44,20e-eu1,5,sjaelland,51,132,830
251,2020,44,20e-eu1,6,whole_denmark,392,1208,7502
251,2020,44,b117,0,other,0,7,
251,2020,44,b117,1,nordjylland,0,154,819
251,2020,44,b117,2,midtjylland,0,178,1294
251,2020,44,b117,3,syddanmark,0,173,1024
251,2020,44,b117,4,copenhagen,0,564,3456
251,2020,44,b117,5,sjaelland,0,132,830
251,2020,44,b117,6,whole_denmark,0,1208,7502
251,2020,44,b1351,0,other,0,7,
251,2020,44,b1351,1,nordjylland,0,154,819
251,2020,44,b1351,2,midtjylland,0,178,1294
251,2020,44,b1351,3,syddanmark,0,173,1024
251,2020,44,b1351,4,copenhagen,0,564,3456
251,2020,44,b1351,5,sjaelland,0,132,830
251,2020,44,b1351,6,whole_denmark,0,1208,7502
251,2020,44,b1525,0,other,0,7,
251,2020,44,b1525,1,nordjylland,0,154,819
251,2020,44,b1525,2,midtjylland,0,178,1294
251,2020,44,b1525,3,syddanmark,0,173,1024
251,2020,44,b1525,4,copenhagen,0,564,3456
251,2020,44,b1525,5,sjaelland,0,132,830
251,2020,44,b1525,6,whole_denmark,0,1208,7502
251,2020,44,d614g,1,nordjylland,176,177,819
251,2020,44,d614g,2,midtjylland,181,181,1294
251,2020,44,d614g,3,syddanmark,174,174,1024
251,2020,44,d614g,4,copenhagen,564,564,3456
251,2020,44,d614g,5,sjaelland,131,132,830
251,2020,44,d614g,6,whole_denmark,1226,1228,7502
251,2020,44,e484k,0,other,0,7,
251,2020,44,e484k,1,nordjylland,0,154,819
251,2020,44,e484k,2,midtjylland,0,178,1294
251,2020,44,e484k,3,syddanmark,0,173,1024
251,2020,44,e484k,4,copenhagen,0,564,3456
251,2020,44,e484k,5,sjaelland,0,132,830
251,2020,44,e484k,6,whole_denmark,0,1208,7502
251,2020,44,n439k,0,other,0,7,
251,2020,44,n439k,1,nordjylland,12,154,819
251,2020,44,n439k,2,midtjylland,24,178,1294
251,2020,44,n439k,3,syddanmark,17,173,1024
251,2020,44,n439k,4,copenhagen,147,564,3456
251,2020,44,n439k,5,sjaelland,22,132,830
251,2020,44,n439k,6,whole_denmark,222,1208,7502
251,2020,44,n501y,0,other,0,7,
251,2020,44,n501y,1,nordjylland,0,154,819
251,2020,44,n501y,2,midtjylland,0,178,1294
251,2020,44,n501y,3,syddanmark,0,173,1024
251,2020,44,n501y,4,copenhagen,1,564,3456
251,2020,44,n501y,5,sjaelland,0,132,830
251,2020,44,n501y,6,whole_denmark,1,1208,7502
251,2020,44,p1,0,other,0,7,
251,2020,44,p1,1,nordjylland,0,154,819
251,2020,44,p1,2,midtjylland,0,178,1294
251,2020,44,p1,3,syddanmark,0,173,1024
251,2020,44,p1,4,copenhagen,0,564,3456
251,2020,44,p1,5,sjaelland,0,132,830
251,2020,44,p1,6,whole_denmark,0,1208,7502
251,2020,44,p2,0,other,0,7,
251,2020,44,p2,1,nordjylland,0,154,819
251,2020,44,p2,2,midtjylland,0,178,1294
251,2020,44,p2,3,syddanmark,0,173,1024
251,2020,44,p2,4,copenhagen,0,564,3456
251,2020,44,p2,5,sjaelland,0,132,830
251,2020,44,p2,6,whole_denmark,0,1208,7502
251,2020,44,y453f,0,other,0,7,
251,2020,44,y453f,1,nordjylland,32,154,819
251,2020,44,y453f,2,midtjylland,21,178,1294
251,2020,44,y453f,3,syddanmark,3,173,1024
251,2020,44,y453f,4,copenhagen,7,564,3456
251,2020,44,y453f,5,sjaelland,4,132,830
251,2020,44,y453f,6,whole_denmark,67,1208,7502
258,2020,45,20e-eu1,0,other,1,16,
258,2020,45,20e-eu1,1,nordjylland,74,178,588
258,2020,45,20e-eu1,2,midtjylland,70,229,1322
258,2020,45,20e-eu1,3,syddanmark,48,179,988
258,2020,45,20e-eu1,4,copenhagen,215,658,3415
258,2020,45,20e-eu1,5,sjaelland,75,175,983
258,2020,45,20e-eu1,6,whole_denmark,483,1435,7373
258,2020,45,b117,0,other,0,16,
258,2020,45,b117,1,nordjylland,0,178,588
258,2020,45,b117,2,midtjylland,0,229,1322
258,2020,45,b117,3,syddanmark,0,179,988
258,2020,45,b117,4,copenhagen,0,658,3415
258,2020,45,b117,5,sjaelland,0,175,983
258,2020,45,b117,6,whole_denmark,0,1435,7373
258,2020,45,b1351,0,other,0,16,
258,2020,45,b1351,1,nordjylland,0,178,588
258,2020,45,b1351,2,midtjylland,0,229,1322
258,2020,45,b1351,3,syddanmark,0,179,988
258,2020,45,b1351,4,copenhagen,0,658,3415
258,2020,45,b1351,5,sjaelland,0,175,983
258,2020,45,b1351,6,whole_denmark,0,1435,7373
258,2020,45,b1525,0,other,0,16,
258,2020,45,b1525,1,nordjylland,0,178,588
258,2020,45,b1525,2,midtjylland,0,229,1322
258,2020,45,b1525,3,syddanmark,0,179,988
258,2020,45,b1525,4,copenhagen,0,658,3415
